Target	AverageTargetDepthAcrossHSP	max100AverageTargetDepth
allCTS_:_contig1028088|E7G10|OPA_:_Contig013_contig1028088|E7G10|OPA	12.7132984489071	14.816340147322
allCTS_:_contig1029026|ITGB6|6_:_Contig001_contig1029026|ITGB6|6	1.05115843788661	1.49158982898077
allCTS_:_contig102910|CMBL|8_:_Contig001_contig102910|CMBL|8	10.8673584274071	11.8483622502096
allCTS_:_contig102948|STX3|3_:_Contig001_contig102948|STX3|3	2.56908071307445	2.75899005022113
allCTS_:_contig102955|AGPHD1|8_:_Contig001_contig102955|AGPHD1|8	7.98325071845227	10.0883073183935
allCTS_:_contig1031606|ATP11C|9_:_Contig001_contig1031606|ATP11C|9	7.68510691351447	8.30068834166214
allCTS_:_contig103686|MED28|8_:_Contig001_contig103686|MED28|8	4.73339306322854	5.28483767741164
allCTS_:_contig104432|NUPL1|8_:_Contig001_contig104432|NUPL1|8	10.7091374367212	12.7753739730745
allCTS_:_contig104441|KIAA1324L|6_:_Contig003_contig104441|KIAA1324L|6	1.69200879827051	1.767484921106
allCTS_:_contig104451|HIP1R|8_:_Contig001_contig104451|HIP1R|8	2.03970978718362	2.23751262885309
allCTS_:_contig104468|ANKRD1|8_:_Contig001_contig104468|ANKRD1|8	0.727467586633333	0.881692299013091
allCTS_:_contig104501|SPC24|11_:_Contig002_contig104501|SPC24|11	21.0952495496477	24.9377064855636
allCTS_:_contig104503|MRPL40|8_:_Contig001_contig104503|MRPL40|8	11.1738519795932	13.5204190692056
allCTS_:_contig104539|TALDO1|11_:_Contig001_contig104539|TALDO1|11	2.91340241714253	3.5493892854069
allCTS_:_contig104602|HSD17B10|6_:_Contig001_contig104602|HSD17B10|6	9.68295257761735	12.6499700992353
allCTS_:_contig104657|PCMT1|12_:_Contig001_contig104657|PCMT1|12	9.29339439528296	9.67637638094374
allCTS_:_contig104666|CISD1|8_:_Contig001_contig104666|CISD1|8	13.6398706537925	17.5705969287069
allCTS_:_contig104674|EIF4E2|1_:_Contig001_contig104674|EIF4E2|1	8.844763383453	9.49915755325855
allCTS_:_contig104743|COX5A|8_:_Contig001_contig104743|COX5A|8	0.854983735863726	1.28726185348236
allCTS_:_contig104751|NUB1|8_:_Contig003_contig104751|NUB1|8	5.16578260952465	5.77019640086873
allCTS_:_contig104873|ZDHHC3|7_:_Contig001_contig104873|ZDHHC3|7	11.8162404608521	13.8870755766124
allCTS_:_contig104883|KDM2B|7_:_Contig001_contig104883|KDM2B|7	3.47955860013351	4.01529055525836
allCTS_:_contig104904|PTPRE|6_:_Contig002_contig104904|PTPRE|6	5.25113056965111	5.74444744900182
allCTS_:_contig104915|SH3BP5|8_:_Contig001_contig104915|SH3BP5|8	4.43769729986183	5.18609859469109
allCTS_:_contig104919|PRKCSH|8_:_Contig001_contig104919|PRKCSH|8	4.82363574491948	4.96079205399291
allCTS_:_contig104944|TTC31|12_:_Contig001_contig104944|TTC31|12	0.635746770037273	0.767801562275487
allCTS_:_contig104959|SYTL5|6_:_Contig001_contig104959|SYTL5|6	9.40701310996858	11.7971073976355
allCTS_:_contig104967|KHDRBS1|8_:_Contig002_contig104967|KHDRBS1|8	4.55162306502305	6.43000370883698
allCTS_:_contig105042|PKIA|11_:_Contig001_contig105042|PKIA|11	4.21554084398572	5.30567749155182
allCTS_:_contig105098|CDH18|6_:_Contig001_contig105098|CDH18|6	7.87173162145668	9.78573270667527
allCTS_:_contig105172|EIF3M|2_:_Contig003_contig105172|EIF3M|2	10.5336998505021	11.0854270749648
allCTS_:_contig105176|PTS|11_:_Contig002_contig105176|PTS|11	17.99270110106	22.7012941760395
allCTS_:_contig105227|RNF220|6_:_Contig001_contig105227|RNF220|6	9.5764429042694	11.9343906694296
allCTS_:_contig105256|DCTN6|3_:_Contig001_contig105256|DCTN6|3	11.7850501316643	11.9309055782633
allCTS_:_contig105375|NAT9|8_:_Contig001_contig105375|NAT9|8	4.1203315693227	4.79767031678127
allCTS_:_contig105584|XPO4|6_:_Contig001_contig105584|XPO4|6	15.5758516620855	18.0252855675493
allCTS_:_contig105591|XIRP2|12_:_Contig001_contig105591|XIRP2|12	11.2914612819733	13.6470228338573
allCTS_:_contig105632|KPNA4|3_:_Contig001_contig105632|KPNA4|3	17.2633065851199	19.881195871476
allCTS_:_contig105650|ACO1|6_:_Contig001_contig105650|ACO1|6	10.2442700173706	12.0948085905415
allCTS_:_contig105655|COPA|8_:_Contig001_contig105655|COPA|8	8.61494838872109	9.86253264276273
allCTS_:_contig105776|C12orf43|9_:_Contig001_contig105776|C12orf43|9	8.10589664998954	9.51787705218436
allCTS_:_contig105928|HSPE1|6_:_Contig003_contig105928|HSPE1|6	15.5678183171865	16.6623487592053
allCTS_:_contig106313|VCAN|11_:_Contig001_contig106313|VCAN|11	5.1176120365668	6.32918676108509
allCTS_:_contig106323|KDM5A|11_:_Contig001_contig106323|KDM5A|11	8.81050105505498	11.5848009101407
